Date,APA,BKR,COG,CVX,COP,DVN,FANG,EOG,XOM,HAL,HES,HFC,KMI,MRO,MPC,NOV,OXY,OKE,PSX,PXD,SLB,FTI,VLO,WMB
8/2/17,44.1403656,31.47912598,23.16594505,94.87335968,41.52892303,30.64826965,91.54320526,87.26569366,65.99485779,39.60085678,41.05693436,27.11618614,16.88911819,11.53421783,49.15494156,31.91396713,52.08101273,42.57833481,75.86760712,140.5604248,60.22161102,26.0546093,57.72330856,25.54496574
8/3/17,40.59328842,31.44350624,23.16594505,93.98870087,40.89155579,29.61136246,85.66893005,84.03295135,65.90480042,38.8430481,40.31977463,27.17844009,16.80604362,11.98447323,48.88380432,31.92374802,52.23376465,41.98193359,74.97473145,130.3714905,59.42887497,25.73675919,57.72330856,25.07669258
8/4/17,41.66201401,31.37226868,23.29794312,94.57275391,41.48339844,30.88684082,90.94145203,85.49806976,65.67552185,38.80607605,41.38352203,27.15175819,16.78112411,12.35809135,48.79634476,32.47180557,52.69203568,41.73244858,74.93096161,130.5837708,58.83650589,25.73675919,57.74858475,25.01210594
8/7/17,40.89731979,30.77563667,22.97737312,94.28931427,41.12829208,29.73065186,91.73423767,84.76077271,65.63459015,38.30702591,39.99319077,27.11618614,16.73958397,11.83119488,48.01791382,31.11147118,52.47138596,41.37384033,74.46702576,125.0841064,57.97408676,25.52173805,57.89332199,25.04440117
8/8/17,40.64855957,31.1140213,23.21357346,94.77888489,41.5471344,29.49206734,90.72175598,86.15974426,65.4708252,37.91886902,39.7692337,26.35134315,16.40728951,11.85035515,47.61557388,30.6221447,52.06404114,40.96844101,74.42325592,130.622406,57.05067825,25.38150978,57.71453094,24.61649513
8/9/17,40.15104675,31.33773613,23.45921516,95.24268341,41.56534958,29.43701363,90.33968353,85.40354919,65.67552185,38.1591568,39.5266304,25.8888855,16.40728951,11.68749523,46.34733963,30.1523819,52.32711792,41.13215637,73.95930481,132.7161102,57.05067825,25.39085579,56.98236084,24.72953033
8/10/17,39.25738525,31.05138206,23.22301865,94.57275391,40.9461937,29.14337921,87.93266296,84.24089813,65.28697205,37.43830109,38.94810104,25.28412819,16.10821533,11.54379845,45.66512299,29.70221138,52.05555725,40.70337296,73.21525574,130.5066071,56.10114288,25.11974907,56.36085129,24.26125336
8/11/17,39.0546875,30.6844883,23.25136566,93.81692505,40.78229523,29.0057354,88.70635986,83.68318939,64.65866089,36.98545456,38.56552887,25.39974594,15.84238052,11.61085606,45.62138748,29.64348793,51.87734604,40.85929108,73.04017639,129.3101654,55.60459518,24.69905853,56.3182869,24.28547859
8/14/17,38.29920197,30.65764809,23.10019875,93.37028503,40.55466461,28.5102272,86.68139648,83.17275238,64.67518616,36.88379288,37.8283577,25.57761383,15.80914879,11.18759441,46.1061554,29.96644592,51.9706955,40.78913116,73.42534637,128.1716614,55.70912933,24.59622574,56.86315918,24.3096981
8/15/17,38.27157593,30.70239639,23.23246574,93.25006866,40.5182457,28.37258148,84.0737915,82.25585175,64.51810455,36.55109024,37.97766876,25.75548172,15.65961075,11.09140015,45.73596573,29.74135017,51.4445343,39.72106934,73.25027466,129.0014496,55.26485062,24.40925789,57.16965866,24.19666672
